,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
166,1995-11,198.6,20.0,372.8
167,1995-12,55.6,20.0,302.5
168,1996-01,39.0,10.0,173.2
169,1996-02,53.0,11.0,180.2
170,1996-03,61.8,8.0,129.7
171,1996-04,55.7,15.0,178.2
172,1996-05,18.6,15.0,107.5
173,1996-06,94.3,15.0,265.8
174,1996-07,55.3,10.0,162.3
175,1996-08,64.6,18.0,258.4
176,1996-09,66.5,18.0,297.0
177,1996-10,45.8,19.0,300.0
178,1996-11,60.5,16.0,180.2
179,1996-12,72.4,15.0,185.5
180,1997-01,13.9,3.0,15.4
181,1997-02,35.7,8.0,105.4
182,1997-03,17.4,10.0,34.3
183,1997-04,44.6,12.0,118.4
184,1997-05,35.6,6.0,41.6
185,1997-06,25.0,12.0,78.9
186,1997-07,5.4,9.0,18.6
187,1997-08,61.4,9.0,86.6
188,1997-09,24.3,3.0,31.1
189,1997-10,36.5,8.0,78.4
190,1997-11,53.6,13.0,158.3
191,1997-12,65.8,23.0,351.9
192,1998-01,79.7,13.0,268.8
193,1998-02,11.9,5.0,32.5
194,1998-03,20.9,7.0,58.8
195,1998-04,64.9,13.0,187.7
196,1998-05,83.7,18.0,370.8
197,1998-06,42.8,15.0,198.8
198,1998-07,55.8,18.0,259.2
199,1998-08,35.5,18.0,195.0
200,1998-09,52.0,17.0,258.2
201,1998-10,32.4,20.0,222.7
202,1998-11,57.5,11.0,107.2
203,1998-12,84.4,22.0,463.4
204,1999-01,52.5,19.0,193.9
205,1999-02,32.1,9.0,67.4
206,1999-03,52.4,16.0,181.4
207,1999-04,29.2,14.0,88.5
208,1999-05,42.8,13.0,157.1
209,1999-06,34.5,13.0,103.4
210,1999-07,51.4,11.0,225.4
211,1999-08,42.4,13.0,204.0
212,1999-09,41.5,13.0,125.9
213,1999-10,32.8,20.0,205.0
214,1999-11,39.0,19.0,241.5
215,1999-12,76.9,17.0,340.5
216,2000-01,127.6,14.0,275.2
217,2000-02,39.9,18.0,237.8
218,2000-03,37.9,15.0,238.3
219,2000-04,87.4,20.0,311.6
220,2000-05,36.7,10.0,96.8
221,2000-06,41.7,16.0,157.5
222,2000-07,34.6,12.0,116.1
223,2000-08,28.1,18.0,113.5
224,2000-09,25.7,12.0,81.1
225,2000-10,38.3,14.0,120.9
226,2000-11,72.0,21.0,385.7
227,2000-12,45.8,18.0,236.0
228,2001-01,125.4,21.0,425.8
229,2001-02,28.2,11.0,86.6
230,2001-03,41.1,20.0,297.3
231,2001-04,68.9,18.0,203.3
232,2001-05,56.1,12.0,164.9
233,2001-06,49.6,11.0,137.1
234,2001-07,44.8,9.0,111.3
235,2001-08,36.6,14.0,158.3
236,2001-09,74.3,13.0,162.0
237,2001-10,77.2,20.0,252.2
238,2001-11,102.6,15.0,175.3
239,2001-12,211.1,20.0,609.0
240,2002-01,83.8,11.0,221.2
241,2002-02,41.7,2.0,50.8
242,2002-03,26.4,8.0,55.6
243,2002-04,39.4,13.0,116.5
244,2002-05,75.9,13.0,236.6
245,2002-06,45.8,12.0,83.1
246,2002-07,69.5,11.0,233.7
247,2002-08,17.8,14.0,54.2
248,2002-09,38.9,9.0,124.2
249,2002-10,3.2,7.0,10.8
250,2002-11,84.0,15.0,307.2
251,2002-12,38.6,24.0,255.0
252,2003-01,194.4,20.0,444.2
253,2003-02,82.2,13.0,172.9
254,2003-03,38.3,11.0,154.6
255,2003-04,42.9,20.0,159.9
256,2003-05,33.0,11.0,81.8
257,2003-06,23.2,12.0,50.3
258,2003-07,30.9,14.0,170.4
259,2003-08,64.4,13.0,193.6
260,2003-09,60.0,15.0,205.3
261,2003-10,56.6,21.0,351.4
262,2003-11,41.3,19.0,133.8
263,2003-12,92.1,17.0,273.0
264,2004-01,177.8,13.0,600.9
265,2004-02,19.2,4.0,31.9
266,2004-03,122.8,16.0,269.4
267,2004-04,18.1,9.0,57.1
268,2004-05,73.4,13.0,137.6
269,2004-06,68.1,8.0,127.2
270,2004-07,34.3,20.0,166.6
271,2004-08,111.5,8.0,185.2
272,2004-09,29.1,14.0,128.9
273,2004-10,25.3,13.0,125.6
274,2004-11,62.4,15.0,166.2
275,2004-12,36.4,14.0,139.8
276,2005-01,96.7,8.0,163.2
277,2005-02,7.2,3.0,8.4
278,2005-03,20.5,12.0,82.4
279,2005-04,49.6,10.0,81.7
280,2005-05,58.7,20.0,331.1
281,2005-06,27.6,15.0,82.3
282,2005-07,26.3,15.0,104.0
283,2005-08,13.8,13.0,58.5
284,2005-09,43.4,18.0,175.7
285,2005-10,76.2,19.0,314.5
286,2005-11,133.8,23.0,362.9
287,2005-12,47.3,19.0,166.0
288,2006-01,131.7,20.0,454.4
289,2006-02,44.5,8.0,115.5
290,2006-03,35.7,9.0,83.1
291,2006-04,43.3,18.0,239.8
