month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp
1985-05,36.2,12,70.1,83.4,5.7,28
1985-06,9.9,14,37,79.4,5.8,28.2
1985-07,32.2,17,131.8,83.1,5.3,27
1985-08,21.4,11,56.9,80.4,6.2,27.7
1985-09,22,18,110.7,83.1,5,26.9
1985-10,30.2,21,169,84.7,4.1,26.7
1985-11,38.2,21,179.4,85,4.1,26.6
1985-12,86.8,22,340.1,86.2,4.6,26.1
1986-01,95.6,13,308.2,83.9,3.9,25.7
1986-02,23,2,26.7,78.4,7.2,26.9
1986-03,71.1,17,353.4,86.6,4.6,26.4
1986-04,56.4,14,150,85.3,6.2,27.4
1986-05,51.3,13,145.1,81.8,6.1,28.2
1986-06,34.5,13,122.9,82.5,6.8,27.9
1986-07,23.5,12,109.7,79.9,6.2,27.9
1986-08,28.4,11,72.9,77.3,5.6,28.3
1986-09,97.6,22,396,84.4,4.8,26.7
1986-10,65.6,20,227.3,85,5,26.9
1986-11,40.5,21,256.7,84.1,4.5,26.6
1986-12,131.7,16,367.2,85.2,5.4,26.3
1987-01,127.4,16,568.6,86,4,25.5
1987-02,34.8,7,86.9,79,9.2,26.6
1987-03,40.9,12,132.5,83.2,6.9,27.5
1987-04,27.7,10,72.5,82.8,6.2,27.9
1987-05,81.4,16,270,84.6,5.6,27.6
1987-06,30.7,15,126.6,80.7,6.8,28.7
1987-07,21.6,11,80.9,81.3,6.7,28.1
1987-08,48.2,16,191.9,83.6,5.1,27.4
1987-09,44.5,11,129.9,82.5,5.4,27.6
1987-10,5.9,9,22.6,82.1,5.8,27.9
1987-11,77.7,17,347.6,84,4.5,27.3
1987-12,24.3,11,72.8,84.6,4.8,26.4
1988-01,69,15,237.5,84.3,5.9,26.8
1988-02,46.7,9,158.1,83.2,6.7,27.1
1988-03,70.1,15,186.8,85.3,5.2,27.3
1988-04,22.8,13,109.6,84.5,5.4,27.8
1988-05,76.7,14,229.6,82.7,5.6,28.4
