Station,Year,Month,Day,Highest 60 Min Rainfall (mm)
Changi,2020,11,17,0.8
Changi,2020,11,18,0
Changi,2020,11,19,0.4
Changi,2020,11,20,0.2
Changi,2020,11,21,2.2
Changi,2020,11,22,15
Changi,2020,11,23,3.4
Changi,2020,11,24,0.2
Changi,2020,11,25,0
Changi,2020,11,26,3
Changi,2020,11,27,0
Changi,2020,11,28,3.4
Changi,2020,11,29,0
Changi,2020,11,30,11.8
Changi,2021,11,1,13.6
Changi,2021,11,2,31.6
Changi,2021,11,3,0.8
Changi,2021,11,4,28
Changi,2021,11,5,1.8
Changi,2021,11,6,3
Changi,2021,11,7,7.4
Changi,2021,11,8,0.6
Changi,2021,11,9,12
Changi,2021,11,10,9.2
Changi,2021,11,11,0.6
Changi,2021,11,12,1
Changi,2021,11,13,0.8
Changi,2021,11,14,0
Changi,2021,11,15,1
Changi,2021,11,16,0
Changi,2021,11,17,0.8
Changi,2021,11,18,39
Changi,2021,11,19,0.2
Changi,2021,11,20,5
Changi,2021,11,21,10.8
Changi,2021,11,22,2.4
Changi,2021,11,23,6.6
Changi,2021,11,24,24
Changi,2021,11,25,0
Changi,2021,11,26,0
Changi,2021,11,27,39.8
Changi,2021,11,28,0
Changi,2021,11,29,0
Changi,2021,11,30,0
Changi,2022,11,1,2.6
Changi,2022,11,2,0.4
Changi,2022,11,3,0
Changi,2022,11,4,0.8
Changi,2022,11,5,27
Changi,2022,11,6,0.2
Changi,2022,11,7,52
Changi,2022,11,8,32.6
Changi,2022,11,9,0.8
Changi,2022,11,10,4.8
Changi,2022,11,11,0.4
Changi,2022,11,12,9.2
Changi,2022,11,13,3.4
Changi,2022,11,14,7
Changi,2022,11,15,4.4
Changi,2022,11,16,13.4
Changi,2022,11,17,0
Changi,2022,11,18,0
Changi,2022,11,19,3.4
Changi,2022,11,20,0.2
Changi,2022,11,21,11
Changi,2022,11,22,2.2
Changi,2022,11,23,3
Changi,2022,11,24,13.4
Changi,2022,11,25,16.6
Changi,2022,11,26,1.6
Changi,2022,11,27,1
Changi,2022,11,28,2.2
Changi,2022,11,29,0
Changi,2022,11,30,44.6
